	VC10.Ctrl_S1.bam	VC11.Ctrl_S3.bam	VC35B.Ctrl_S5.bam	VC35C.Ctrl_S7.bam	VC10.VC_S2.bam	VC11.VC_S4.bam	VC35B.VC_S6.bam	VC35C.VC_S8.bam
Eya1	8.07110725947363	8.22067803796414	7.61973087980215	7.60291292851981	8.42494066302497	8.52193036631301	8.19551041099159	8.15208400044497
Msc	7.0325128571097	7.15392807718888	6.76151356797185	6.71882252250529	7.09755962542756	7.32770350654206	7.02136831801962	7.02881878604147
Gm9947	6.54573715440656	6.514324390167	6.13179381389296	6.2795009803371	6.54371368022122	6.52974013788659	6.13179381389296	6.13179381389296
Trpa1	6.90738570636601	6.92646493590163	6.49727760799682	6.73663280370632	6.87806241956233	7.01079343997655	6.65076230603963	6.7464079838306
Gm10566	8.26984100120299	8.28987426511084	8.34051298521904	8.34188604444047	8.2451535402526	8.15941782619067	8.34601778122945	8.35104700540231
Kcnb2	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Terf1	9.69579449890608	9.57473857607013	9.5422116897711	9.69615243094902	9.65046896741636	9.60069214403823	9.48651532290618	9.45028189511442
Gm106	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
4930444P10Rik	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.30043516619232	6.36203288726458	6.13179381389296	6.13179381389296
Rpl7	11.7427435843069	11.7574890160706	11.9288040520525	11.9977537963308	11.8129384144362	11.7081990539183	11.9010857736797	11.9953866866291
