exp	cells	mark	target	unnorm	norm	norm2
VC70D	DKD ctrl	H3K9me2	L1A	0.322264042	0.427927022	1
VC70D	DKD vitC	H3K9me2	L1A	0.282520965	0.375153103	0.876675422
VC70E	SCR ctrl	H3K9me2	L1A	11.87929505	1	1
VC70E	SCR vitC	H3K9me2	L1A	8.209496679	0.691076082	0.691076082
VC70E	DKD ctrl	H3K9me2	L1A	5.558354281	0.467902704	1
VC70E	DKD vitC	H3K9me2	L1A	2.66510423	0.224348686	0.479477215
VC70C	SCR ctrl	H3K9me2	L1Gf	0.151665207	1	1
VC70C	SCR vitC	H3K9me2	L1Gf	0.03583483	0.236275877	0.236275878
VC70C	DKD ctrl	H3K9me2	L1Gf	0.070921519	0.467618914	1
VC70C	DKD vitC	H3K9me2	L1Gf	0.174277154	1.149091198	2.457324046
VC70D	SCR ctrl	H3K9me2	L1Gf	0.580639952	1	1
VC70D	SCR vitC	H3K9me2	L1Gf	0.256690813	0.442082588	0.442082589
VC70D	DKD ctrl	H3K9me2	L1Gf	0.216350952	0.372607761	1
VC70D	DKD vitC	H3K9me2	L1Gf	0.192747286	0.331956637	0.89090103
VC70E	SCR ctrl	H3K9me2	L1Gf	4.578798409	1	1
VC70E	SCR vitC	H3K9me2	L1Gf	4.9258371	1.075792525	1.075792525
VC70E	DKD ctrl	H3K9me2	L1Gf	3.077053866	0.672022131	1
VC70E	DKD vitC	H3K9me2	L1Gf	1.336475369	0.291883427	0.434336033
VC70C	SCR ctrl	H3K9me2	L1Tf	0.238918685	1	1
VC70C	SCR vitC	H3K9me2	L1Tf	0.056373739	0.235953662	0.235953663
VC70C	DKD ctrl	H3K9me2	L1Tf	0.166639337	0.69747302	1
VC70C	DKD vitC	H3K9me2	L1Tf	0.24963316	1.044845695	1.498044606
VC70D	SCR ctrl	H3K9me2	L1Tf	0.696355175	1	1
VC70D	SCR vitC	H3K9me2	L1Tf	0.364085985	0.522845234	0.522845235
VC70D	DKD ctrl	H3K9me2	L1Tf	0.296721807	0.426106989	1
VC70D	DKD vitC	H3K9me2	L1Tf	0.280703084	0.403103321	0.946014339
VC70E	SCR ctrl	H3K9me2	L1Tf	0.77714756	1	1
VC70E	SCR vitC	H3K9me2	L1Tf	0.54692252	0.703756337	0.703756337
VC70E	DKD ctrl	H3K9me2	L1Tf	2.03854973	2.62311797	1
VC70E	DKD vitC	H3K9me2	L1Tf	0.19584984	0.252011137	0.096073124
