all_data1,all_data2,all_data3,all_data4,all_data5,all_data6,all_data7,all_data8
2i-DTKO-Ctrl9,L1 TF,1,0.114544188220454,0.0508244555838582,0.00582164600659955,23.0733333333333,0.0750555349946506
2i-DTKO-Ctrl9,L1 GF,1,0.105823244135729,0.000494525773543038,5.23323216650549e-05,29.7566666666667,0.040414518843274
2i-DTKO-Ctrl9,L1 A,1,0.132621959284735,0.0477507322374518,0.00633279566661163,23.1633333333333,0.122202018532155
2i-DTKO-Ctrl9,ORF1a,1,0.147215606179599,0.402855214090865,0.059306574544999,20.0866666666667,0.153079500042734
2i-DTKO-Ctrl9,ORF2a,1,0.158378190107243,0.160613678256854,0.0254377036687875,21.4133333333333,0.174737898961082
2i-DTKO-Ctrl9,ETnERV3,1,0.103914298764951,0.000250135943123242,2.59927011255614e-05,30.74,0.0282842712474638
2i-DTKO-Ctrl9,Dazl,1,0.103063162103189,0.00633839521403258,0.000653255053417917,26.0766666666667,0.0208166599946626
2i-DTKO-Ctrl9,Dnmt3a,1,0.1020481213775,1.30553440198151e-05,1.33227333115911e-06,35,0
2i-DTKO-Ctrl9,Dnmt3b,1,0.104949441847371,6.14596893345164e-05,6.4501600917703e-06,32.765,0.0353553390593254
2i-DTKO-Ctrl9,HSPC,1,0.127260639414389,1.94755850353666,0.247847540457007,17.8133333333333,0.109696551146028
2i-DTKO-Ctrl9,ATP5b,1,0.163747616629225,0.51346339439049,0.0840784070577944,19.7366666666667,0.18475208614068
2i-DTKO-VC9,L1 TF,4.8343882253871,0.299664429731317,0.245705149636314,0.0152302814989415,20.9133333333333,0.0850490054811544
2i-DTKO-VC9,L1 GF,5.48946924177513,0.358906896301062,0.00271468402312956,0.000177488710523214,27.4133333333333,0.0901849950564578
2i-DTKO-VC9,L1 A,1.47426921729111,0.0577810247163097,0.0703974346407855,0.00275908623963409,22.7166666666667,0.049328828623162
2i-DTKO-VC9,ORF1a,4.51064370818322,0.0987299597794786,1.81713633674777,0.0397738790841444,18.0266666666667,0.0152752523165184
2i-DTKO-VC9,ORF2a,2.54912125463853,0.127379484858289,0.409423741030219,0.020458887597553,20.1766666666667,0.066583281184793
2i-DTKO-VC9,ETnERV3,22.5751969138889,3.05824737563311,0.0056468681712485,0.000764977591608169,26.3566666666667,0.193476958145752
2i-DTKO-VC9,Dazl,2.24492409661875,0.190560026561062,0.0142292161498747,0.00120784476034055,25.0233333333333,0.119303534454488
2i-DTKO-VC9,Dnmt3a,1.08172466608011,0.0207225373900707,1.41222876503954e-05,2.70539854590854e-07,35,0
2i-DTKO-VC9,Dnmt3b,0.500577956426914,0.359448720290481,3.07653656897052e-05,2.20916066807425e-05,33.8766666666667,1.03558357139022
2i-DTKO-VC9,HSPC,0.986232704493362,0.021586877959611,1.92074589010201,0.0420417077350485,17.9466666666667,0.0152752523165199
2i-DTKO-VC9,ATP5b,1.01395947979003,0.0341707845979447,0.520631076267405,0.0175454470486469,19.83,0.0400000000000009
